uuid,speed,timestamp,time,weekday,location
Device_5,7.25,2017-08-10 16:41:00,16:41:00,Thursday,"[47.57694702, -52.7278895]"
Device_5,2.49000001,2017-08-10 16:41:00,16:41:00,Thursday,"[47.57716688, -52.72740947]"
Device_5,10.60999966,2017-08-10 16:41:00,16:41:00,Thursday,"[47.57735715, -52.72664093]"
Device_5,12.67000008,2017-08-10 16:41:00,16:41:00,Thursday,"[47.57743531, -52.72513647]"
Device_5,13.75999928,2017-08-10 16:42:00,16:42:00,Thursday,"[47.57756879, -52.72347869]"
Device_5,11.82999992,2017-08-10 16:42:00,16:42:00,Thursday,"[47.57755295, -52.72198420000001]"
Device_5,0,2017-08-10 16:42:00,16:42:00,Thursday,"[47.57741938, -52.72152856]"
Device_5,8.5,2017-08-10 16:43:00,16:43:00,Thursday,"[47.57751779, -52.72109781]"
Device_5,13.15999985,2017-08-10 16:43:00,16:43:00,Thursday,"[47.57828029, -52.72027312]"
Device_5,13.77999973,2017-08-10 16:43:00,16:43:00,Thursday,"[47.57898726, -52.71892506]"
Device_5,12.7699995,2017-08-10 16:43:00,16:43:00,Thursday,"[47.57963459, -52.71762301]"
Device_5,11.67000008,2017-08-10 16:43:00,16:43:00,Thursday,"[47.58017506, -52.71663512]"
Device_5,7.019999981,2017-08-10 16:44:00,16:44:00,Thursday,"[47.58063682, -52.71572644]"
Device_5,10.14999962,2017-08-10 16:44:00,16:44:00,Thursday,"[47.58106312, -52.714922200000004]"
Device_5,1.309999943,2017-08-10 16:44:00,16:44:00,Thursday,"[47.58125343, -52.71441249]"
Device_5,8.519999504,2017-08-10 16:44:00,16:44:00,Thursday,"[47.58142426, -52.71403271]"
Device_5,4.409999847,2017-08-10 16:44:00,16:44:00,Thursday,"[47.58186481, -52.71320273]"
Device_5,6.480000019,2017-08-10 16:44:00,16:44:00,Thursday,"[47.58146193, -52.71270418]"
Device_5,0,2017-08-10 16:45:00,16:45:00,Thursday,"[47.581237200000004, -52.71228000000001]"
Device_5,0,2017-08-10 16:46:00,16:46:00,Thursday,"[47.5808685, -52.71259860000001]"
Device_5,0,2017-08-10 16:46:00,16:46:00,Thursday,"[47.5806278, -52.712844]"
Device_5,0,2017-08-10 16:46:00,16:46:00,Thursday,"[47.58084222, -52.71253444]"
